Squad,# Pl,90s,Goals / GA,Goals / PKA,Goals / FK,Goals / CK,Goals / OG,Expected / PSxG,Expected / PSxG/SoT,Expected / PSxG+/-,Expected / /90,Launched / Cmp,Launched / Att,Launched / Cmp%,Passes / Att (GK),Passes / Thr,Passes / Launch%,Passes / AvgLen,Goal Kicks / Att,Goal Kicks / Launch%,Goal Kicks / AvgLen,Crosses / Opp,Crosses / Stp,Crosses / Stp%,Sweeper / #OPA,Sweeper / #OPA/90,Sweeper / AvgDist
Arsenal,1,10,3,0,1,1,0,3.7,0.2,0.7,0.07,48,150,32,307,44,41.4,35.3,49,46.9,38.1,85,8,9.4,20,2,20.1
Aston Villa,2,10,10,1,0,3,0,8.6,0.27,-1.4,-0.14,42,126,33.3,312,43,31.1,30,88,33,29.4,139,12,8.6,18,1.8,13.8
Bournemouth,1,9,11,1,0,2,0,12.7,0.32,1.7,0.19,34,112,30.4,215,48,32.1,32.1,73,58.9,48,109,14,12.8,22,2.44,15.3
Brentford,1,10,16,1,0,1,2,12.3,0.31,-1.7,-0.17,63,159,39.6,300,56,38.3,33.6,70,62.9,47.5,139,11,7.9,9,0.9,13.1
Brighton,1,10,15,1,0,1,2,13.9,0.37,0.9,0.09,27,120,22.5,310,43,32.9,31.1,81,22.2,22.4,128,5,3.9,9,0.9,14.4
Burnley,1,10,19,3,0,2,3,18.2,0.27,2.2,0.22,65,218,29.8,241,46,46.9,36.6,116,90.5,64.1,217,8,3.7,3,0.3,8.2
Chelsea,2,10,11,0,0,2,0,9.8,0.34,-1.2,-0.12,38,156,24.4,347,48,37.5,34.5,74,35.1,32.7,126,17,13.5,9,0.9,12.5
Crystal Palace,1,10,9,1,0,2,0,12.4,0.38,3.4,0.34,50,183,27.3,262,34,51.5,40.1,92,52.2,42.6,156,10,6.4,4,0.4,10.7
Everton,1,9,12,1,0,2,0,12.3,0.31,0.3,0.03,75,202,37.1,301,30,56.5,40.6,68,47.1,38.4,110,4,3.6,22,2.44,17.7
Fulham,1,10,14,2,0,2,1,12.5,0.27,-0.5,-0.05,32,117,27.4,314,56,26.8,29.6,80,41.3,34.6,122,9,7.4,9,0.9,12.9
Leeds United,2,10,17,1,1,2,1,13.7,0.34,-2.3,-0.23,60,209,28.7,323,50,50.8,37.7,82,54.9,41.1,146,8,5.5,6,0.6,11.4
Liverpool,2,10,14,1,0,2,0,11.9,0.3,-2.1,-0.21,39,110,35.5,345,55,26.1,29.5,75,26.7,27,126,5,4,16,1.6,14.4
Manchester City,2,9,7,1,0,1,0,8.9,0.3,1.9,0.21,25,84,29.8,227,30,28.2,27.7,54,37,32.8,98,7,7.1,15,1.67,9
Manchester Utd,2,10,16,0,1,3,0,16.2,0.42,0.2,0.02,61,228,26.8,302,24,59.3,37.5,75,65.3,46.9,145,11,7.6,10,1,13
Newcastle Utd,1,9,8,0,0,2,0,9.7,0.3,1.7,0.18,20,99,20.2,210,69,30,32.5,52,69.2,50.8,105,19,18.1,28,3.11,18.4
Nott'ham Forest,1,10,19,3,1,5,0,17.8,0.29,-1.2,-0.12,39,136,28.7,212,36,54.7,39.4,73,27.4,28.8,135,5,3.7,9,0.9,13.3
Sunderland,1,9,7,0,0,1,0,9.5,0.24,2.5,0.28,46,170,27.1,266,28,45.5,37.3,82,59.8,46.5,161,16,9.9,11,1.22,11.9
Tottenham,1,10,8,0,0,1,0,12.5,0.32,4.5,0.45,33,109,30.3,326,50,24.8,29.7,93,30.1,30.4,126,4,3.2,22,2.2,17.1
West Ham,2,9,20,1,0,9,0,16.3,0.35,-3.7,-0.41,41,152,27,255,47,44.3,35.3,72,54.2,41.9,149,9,6,2,0.22,8
Wolves,2,10,22,0,1,2,2,15.5,0.35,-4.5,-0.45,72,201,35.8,325,51,48.3,39.4,71,62,50.2,156,8,5.1,15,1.5,16.2